t_hours,pv_pu,tap_ops_this_step,in_warmup,v_pu_regulator_adjacent,v_pu_midpoint,v_pu_end_of_feeder
8.0,0.3986880268443922,0,True,1.0227557428079599,1.0225460321534614,0.9384744348281432
8.000277777777777,0.39874921805318886,0,True,1.0225821454275483,1.0223719541866867,0.9382166665056237
8.000555555555556,0.3988104086708158,0,True,1.0225222376169727,1.0223118802971356,0.9381269793660351
8.000833333333333,0.3988715986966711,0,True,1.0225014815254112,1.0222910666735776,0.9380957841602774
8.001111111111111,0.3989327881301543,0,True,1.0224948880793525,1.022284455530621,0.9380858514798657
8.001388888888888,0.3989939769706634,0,True,1.0224930864650144,1.022282649732851,0.9380831385352663
8.001666666666667,0.3990551652175982,0,True,1.0224926617749388,1.02228222465386,0.9380825558254525
8.001944444444444,0.39911635287035685,0,True,1.022492901929285,1.022282466295723,0.9380829606381914
8.002222222222223,0.3991775399283392,0,True,1.0224933335364517,1.022282899971582,0.9380836518906795
8.0025,0.39923872639094354,0,True,1.0224938630609661,1.0222834318517522,0.9380844887483839
8.002777777777778,0.39929991225756967,0,True,1.0224944329165713,1.0222840041801249,0.9380853872968324
8.003055555555555,0.39936109752761617,0,True,1.022495016985422,1.02228459076278,0.9380863082064214
8.003333333333334,0.39942228220048304,0,True,1.0224956054139227,1.0222851817175822,0.9380872362504423
8.00361111111111,0.3994834662755688,0,True,1.0224961949742652,1.02228577380741,0.9380881662846745
8.00388888888889,0.39954464975227355,0,True,1.0224967847534583,1.022286366116658,0.9380890967801744
8.004166666666666,0.3996058326299961,0,True,1.0224973745420585,1.0222869584352983,0.9380900273473318
8.004444444444445,0.39966701490813655,0,True,1.02249796431101,1.022287550734206,0.9380909579089259
8.004722222222222,0.3997281965860938,0,True,1.022498554065338,1.022288143018429,0.938091888458076
8.005,0.3997893776632682,0,True,1.022499143811287,1.0222887352942365,0.9380928189981618
8.005277777777778,0.3998505581390586,0,True,1.0224997335521242,1.0222893275649063,0.9380937495316669
8.005555555555556,0.39991173801286556,0,True,1.0225003232891579,1.0222899198317512,0.9380946800596073
8.005833333333333,0.39997291728408807,0,True,1.022500913022822,1.0222905120952082,0.9380956105822774
8.00611111111111,0.4000340959521263,0,True,1.0225015027532345,1.0222911043553953,0.9380965410997227
8.006388888888889,0.4000952740163806,0,True,1.0225020924804162,1.022291696612333,0.9380974716119267
8.006666666666666,0.4001564514762501,0,True,1.0225026822043635,1.0222922888660175,0.9380984021188686
8.006944444444445,0.40021762833113567,0,True,1.0225032719250688,1.0222928811164425,0.9380993326205308
8.007222222222222,0.4002788045804365,0,True,1.0225038616425255,1.0222934733636,0.938100263116901
8.0075,0.4003399802235536,0,True,1.0225044513567274,1.0222940656074844,0.9381011936079698
8.007777777777777,0.4004011552598863,0,True,1.0225050410676693,1.0222946578480905,0.9381021240937281
8.008055555555556,0.40046232968883555,0,True,1.022505630775346,1.0222952500854126,0.9381030545741673
8.008333333333333,0.4005235035098011,0,True,1.022506220479752,1.0222958423194461,0.9381039850492794
8.008611111111112,0.40058467672218395,0,True,1.0225068101808825,1.0222964345501853,0.9381049155190565
8.008888888888889,0.4006458493253836,0,True,1.0225073998787322,1.022297026777625,0.9381058459834887
